,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,WhetherRemodelled,AgeofProperty
0,60,RL,65.0,8450,Reg,Inside,CollgCr,2Story,7,5,Gable,VinylSd,VinylSd,BrkFace,196.0,Gd,PConc,Gd,No,GLQ,706,150,856,Ex,856,854,1710,1,2,1,3,Gd,8,0,None,Attchd,RFn,2,548,0,61,208500,0,5
1,20,RL,80.0,9600,Reg,FR2,Veenker,1Story,6,8,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,Gd,Gd,ALQ,978,284,1262,Ex,1262,0,1262,0,2,0,3,TA,6,1,TA,Attchd,RFn,2,460,298,0,181500,0,31
2,60,RL,68.0,11250,IR1,Inside,CollgCr,2Story,7,5,Gable,VinylSd,VinylSd,BrkFace,162.0,Gd,PConc,Gd,Mn,GLQ,486,434,920,Ex,920,866,1786,1,2,1,3,Gd,6,1,TA,Attchd,RFn,2,608,0,42,223500,1,7
3,70,RL,60.0,9550,IR1,Corner,Crawfor,2Story,7,5,Gable,Wd Sdng,Wd Shng,None,0.0,TA,BrkTil,TA,No,ALQ,216,540,756,Gd,961,756,1717,1,1,0,3,Gd,7,1,Gd,Detchd,Unf,3,642,0,35,140000,1,91
4,60,RL,84.0,14260,IR1,FR2,NoRidge,2Story,8,5,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,PConc,Gd,Av,GLQ,655,490,1145,Ex,1145,1053,2198,1,2,1,4,Gd,9,1,TA,Attchd,RFn,3,836,192,84,250000,0,8
5,50,RL,85.0,14115,IR1,Inside,Mitchel,1.5Fin,5,5,Gable,VinylSd,VinylSd,None,0.0,TA,Wood,Gd,No,GLQ,732,64,796,Ex,796,566,1362,1,1,1,1,TA,5,0,None,Attchd,Unf,2,480,40,30,143000,1,16
6,20,RL,75.0,10084,Reg,Inside,Somerst,1Story,8,5,Gable,VinylSd,VinylSd,Stone,186.0,Gd,PConc,Ex,Av,GLQ,1369,317,1686,Ex,1694,0,1694,1,2,0,3,Gd,7,1,Gd,Attchd,RFn,2,636,255,57,307000,1,3
7,60,RL,69.0,10382,IR1,Corner,NWAmes,2Story,7,6,Gable,HdBoard,HdBoard,Stone,240.0,TA,CBlock,Gd,Mn,ALQ,859,216,1107,Ex,1107,983,2090,1,2,1,3,TA,7,2,TA,Attchd,RFn,2,484,235,204,200000,0,36
8,50,RM,51.0,6120,Reg,Inside,OldTown,1.5Fin,7,5,Gable,BrkFace,Wd Shng,None,0.0,TA,BrkTil,TA,No,Unf,0,952,952,Gd,1022,752,1774,0,2,0,2,TA,8,2,TA,Detchd,Unf,2,468,90,0,129900,1,77
9,190,RL,50.0,7420,Reg,Corner,BrkSide,1.5Unf,5,6,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,GLQ,851,140,991,Ex,1077,0,1077,1,1,0,2,TA,5,2,TA,Attchd,RFn,1,205,0,4,118000,1,69
10,20,RL,70.0,11200,Reg,Inside,Sawyer,1Story,5,5,Hip,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,Rec,906,134,1040,Ex,1040,0,1040,1,1,0,3,TA,5,0,None,Detchd,Unf,1,384,0,0,129500,0,43
11,60,RL,85.0,11924,IR1,Inside,NridgHt,2Story,9,5,Hip,WdShing,Wd Shng,Stone,286.0,Ex,PConc,Ex,No,GLQ,998,177,1175,Ex,1182,1142,2324,1,3,0,4,Ex,11,2,Gd,BuiltIn,Fin,3,736,147,21,345000,1,1
12,20,RL,69.0,12968,IR2,Inside,Sawyer,1Story,5,6,Hip,HdBoard,Plywood,None,0.0,TA,CBlock,TA,No,ALQ,737,175,912,TA,912,0,912,1,1,0,2,TA,4,0,None,Detchd,Unf,1,352,140,0,144000,0,46
13,20,RL,91.0,10652,IR1,Inside,CollgCr,1Story,7,5,Gable,VinylSd,VinylSd,Stone,306.0,Gd,PConc,Gd,Av,Unf,0,1494,1494,Ex,1494,0,1494,0,2,0,3,Gd,7,1,Gd,Attchd,RFn,3,840,160,33,279500,1,1
14,20,RL,69.0,10920,IR1,Corner,NAmes,1Story,6,5,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,CBlock,TA,No,BLQ,733,520,1253,TA,1253,0,1253,1,1,1,2,TA,5,1,Fa,Attchd,RFn,1,352,0,213,157000,0,48
15,45,RM,51.0,6120,Reg,Corner,BrkSide,1.5Unf,7,8,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,TA,No,Unf,0,832,832,Ex,854,0,854,0,1,0,2,TA,5,0,None,Detchd,Unf,2,576,48,112,132000,1,78
16,20,RL,69.0,11241,IR1,CulDSac,NAmes,1Story,6,7,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,CBlock,TA,No,ALQ,578,426,1004,Ex,1004,0,1004,1,1,0,2,TA,5,1,TA,Attchd,Fin,2,480,0,0,149000,0,40
17,90,RL,72.0,10791,Reg,Inside,Sawyer,1Story,4,5,Gable,MetalSd,MetalSd,None,0.0,TA,Slab,None,None,None,0,0,0,TA,1296,0,1296,0,2,0,2,TA,6,0,None,CarPort,Unf,2,516,0,0,90000,0,39
18,20,RL,66.0,13695,Reg,Inside,SawyerW,1Story,5,5,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,TA,No,GLQ,646,468,1114,Ex,1114,0,1114,1,1,1,3,Gd,6,0,None,Detchd,Unf,2,576,0,102,159000,0,4
19,20,RL,70.0,7560,Reg,Inside,NAmes,1Story,5,6,Hip,BrkFace,Plywood,None,0.0,TA,CBlock,TA,No,LwQ,504,525,1029,TA,1339,0,1339,0,1,0,3,TA,6,0,None,Attchd,Unf,1,294,0,0,139000,1,51
